127.0.0.1 - - [30/Jun/2022:13:23:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:23 +0530] "GET /DebateEvent/ HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:25 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:26 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:29 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:29 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:30 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:34 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:34 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:36 +0530] "GET /DebateEvent/student/deletestudent?id=39 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:36 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:52 +0530] "GET /springMVC HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:23:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:27:11 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:27:16 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:27:16 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:28:35 +0530] "GET /DebateEvent/student/deletestudent?id=40 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:28:35 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2795
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:28:46 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:28:51 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:28:51 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:29:11 +0530] "GET /DebateEvent/student/deletestudent?id=41 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:29:11 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:29:15 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:29:26 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:29:26 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3537
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:30:16 +0530] "GET /DebateEvent/student/deletestudent?id=42 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:30:16 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:30:21 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:30:32 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:30:32 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:32:39 +0530] "GET /DebateEvent/student/editstudent?id=43 HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:32:46 +0530] "GET /DebateEvent/student/editstudent?id=43 HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:32:48 +0530] "GET /DebateEvent/student/editstudent?id=44 HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:26 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:28 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:29 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:29 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:30 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:30 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:30 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:31 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:31 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:31 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:31 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:31 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:32 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:35:36 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:46:52 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:46:53 +0530] "GET /DebateEvent/student/editstudent?id=43 HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:46:55 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:46:56 +0530] "GET /DebateEvent/student/editstudent?id=44 HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [30/Jun/2022:13:46:59 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:18:32 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:18:38 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1922
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:04 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:09 +0530] "GET /DebateEvent/student/deletestudent?id=43 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:09 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:12 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:17 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:20 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:20 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:34 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:34 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:34 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:37 +0530] "GET /DebateEvent/student/deletestudent?id=44 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:37 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:39 +0530] "GET /DebateEvent/student/deletestudent?id=45 HTTP/1.1" 302 -
