127.0.0.1 - - [02/Jul/2022:01:45:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:09 +0530] "GET /DebateEvent/ HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:11 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:15 +0530] "GET /DebateEvent/student/editstudent?id=50 HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:17 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:17 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:19 +0530] "GET /DebateEvent/student/editstudent?id=50 HTTP/1.1" 200 1396
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:20 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:20 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:23 +0530] "GET /DebateEvent/student/deletestudent?id=50 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:23 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:24 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:27 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:27 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:28 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:34 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:34 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:35 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:41 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:41 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:44 +0530] "GET /DebateEvent/student/deletestudent?id=54 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:44 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:48 +0530] "GET /DebateEvent/student/deletestudent?id=53 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:48 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:52 +0530] "GET /DebateEvent/student/editstudent?id=52 HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:45:54 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:46:04 +0530] "GET /DebateEvent/student/deletestudent?id=52 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:46:04 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [02/Jul/2022:01:46:09 +0530] "GET /DebateEvent/ HTTP/1.1" 200 270
